class_level,day_number,old_filename,new_filename,full_url
7,1,day-01.html,ttt4fgyo45.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/ttt4fgyo45.html
7,2,day-02.html,g4d1f39ct0.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/g4d1f39ct0.html
7,3,day-03.html,u1v1ssbk98.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/u1v1ssbk98.html
7,4,day-04.html,2t92msupfi.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/2t92msupfi.html
7,5,day-05.html,5z7mv3jx4x.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/5z7mv3jx4x.html
7,6,day-06.html,y8q7pa37tw.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/y8q7pa37tw.html
7,7,day-07.html,jb4sa41xsv.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/jb4sa41xsv.html
7,8,day-08.html,x6bvivcwkx.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/x6bvivcwkx.html
7,9,day-09.html,cwovi0n1or.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/cwovi0n1or.html
7,10,day-10.html,ydcywk5g7r.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/ydcywk5g7r.html
7,11,day-11.html,8k96zk9cx4.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/8k96zk9cx4.html
7,12,day-12.html,j05gwzr2rz.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/j05gwzr2rz.html
7,13,day-13.html,6ic8eofu8a.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/6ic8eofu8a.html
7,14,day-14.html,h9l8ftgwxi.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/h9l8ftgwxi.html
7,15,day-15.html,xfw1t1gbdp.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/xfw1t1gbdp.html
7,16,day-16.html,7hzx7z5hyx.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/7hzx7z5hyx.html
7,17,day-17.html,t8kp8djf12.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/t8kp8djf12.html
7,18,day-18.html,xqp416hjbi.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/xqp416hjbi.html
7,19,day-19.html,ss0v7m7ay1.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/ss0v7m7ay1.html
7,20,day-20.html,jngpsvxtjb.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/jngpsvxtjb.html
7,21,day-21.html,kr8jhvs7f9.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/kr8jhvs7f9.html
7,22,day-22.html,yrfa4a28qi.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/yrfa4a28qi.html
7,23,day-23.html,mgd07ve5pu.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/mgd07ve5pu.html
7,24,day-24.html,vn837mm0il.html,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/vn837mm0il.html
