day_number,class_level,topic,q1_text,q1_a,q1_b,q1_c,q1_correct,q2_text,q2_a,q2_b,q2_c,q2_correct,q3_text,q3_a,q3_b,q3_c,q3_correct
1,7,Why does your stomach not digest itself?,What is the main phenomenon studied when we ask why the stomach does not digest itself?,The stomach lining is protected by a thick layer of mucus that neutralises acid.,The stomach produces no acid when it is not digesting food.,Stomach cells are made of a special acid-proof protein called keratase.,q1_a,Why is understanding the cause-and-effect mechanism more useful than just memorising the answer?,"Memorised answers are always correct, so mechanisms are unnecessary.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Mechanisms only apply to chemistry, not to biology or physics.",q2_b,"If the mucus lining of the stomach were damaged, what would you predict would happen?",The stomach would produce less hydrochloric acid to compensate for the damage.,Digestion would slow down because enzymes would have less space to work.,"Stomach acid could begin to digest the stomach wall, causing ulcers.",q3_c
2,7,How does the human nose actually work?,What is the primary role of the olfactory receptors in the nose?,Olfactory receptor cells detect chemical molecules in the air and send signals to the brain.,Olfactory receptors filter dust particles before air enters the lungs.,Olfactory receptors warm and humidify incoming air to protect the throat.,q1_a,Why is identifying the mechanism of smell more useful than just knowing that the nose detects odours?,Knowing odours exist is enough; the mechanism adds no practical value.,A mechanism explains the cause-and-effect chain and allows prediction in new situations.,The mechanism of smell is too complex to be studied at Class 7 level.,q2_b,"If the olfactory nerve were blocked, what would you predict would happen to a person's sense of smell?",The person would smell more strongly because signals would build up in the receptors.,The nose would produce more mucus to compensate for the missing nerve signals.,The person would lose the sense of smell because signals could not reach the brain.,q3_c
3,7,Why do we breathe faster after running?,What is the main reason we breathe faster after running?,"Muscles use more oxygen and produce more carbon dioxide during exercise, so breathing rate increases to meet demand.","Running heats the lungs, which makes the diaphragm contract more rapidly automatically.","The body needs to cool down quickly, so it exhales hot air faster.",q1_a,Why is knowing the mechanism of increased breathing rate more useful than memorising that we breathe faster?,"The mechanism is only useful for doctors, not for students.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,Memorising the fact is sufficient because breathing rate never changes.,q2_b,"If a person held their breath after sprinting, what would you predict would happen?",The muscles would stop producing carbon dioxide to prevent overload.,The heart would slow down to reduce the demand for oxygen.,"Carbon dioxide levels in the blood would rise rapidly, triggering an urgent urge to breathe.",q3_c
4,7,How does blood know where to go?,What guides blood to the correct organs in the circulatory system?,"Blood is pumped by the heart through a network of arteries, veins, and capillaries that form closed pathways to each organ.",Blood cells have small magnets that attract them to specific organs needing oxygen.,The brain sends electrical signals directly to red blood cells to direct their movement.,q1_a,Why is identifying the mechanism of blood circulation more useful than simply knowing blood travels around the body?,"Blood circulation is the same in all animals, so the mechanism never changes.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"The heart pumps randomly, so there is no predictable mechanism to study.",q2_b,"If a major artery supplying a muscle were blocked, what would you predict would happen?",The muscle would receive more blood from veins to compensate for the blocked artery.,The heart would beat slower to reduce pressure in the blocked vessel.,The muscle would be deprived of oxygen and begin to fail or cramp.,q3_c
5,7,Why do plants need sunlight?,What is the main reason plants need sunlight?,"Sunlight provides energy for photosynthesis, the process by which plants make food from carbon dioxide and water.","Sunlight heats the roots, which allows water to be absorbed more efficiently from the soil.",Plants use sunlight to produce oxygen directly from the soil without needing carbon dioxide.,q1_a,Why is understanding the mechanism of photosynthesis more useful than knowing that plants need sunlight?,"Plants grow identically in all light conditions, so the mechanism does not matter.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,Only botanists need to understand photosynthesis; other students can memorise the fact.,q2_b,"If a plant were kept in complete darkness for several weeks, what would you predict would happen?",The plant would switch to absorbing nitrogen from the air to replace lost glucose.,The plant would grow faster because darkness accelerates cell division in stems.,"The plant would be unable to make food, weaken, and eventually die.",q3_c
6,7,How does a seed know which way to grow?,What is the main mechanism that tells a seed's root to grow downward and shoot to grow upward?,A process called gravitropism makes roots grow toward gravity and shoots grow away from it.,Seeds detect the colour of soil and grow their roots toward darker regions.,The seed's outer coat has markings that orient the embryo correctly before germination.,q1_a,Why is knowing the mechanism of directional growth more useful than just observing that roots grow down?,"Roots always grow in random directions, so there is no mechanism to study.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,Seed growth direction is determined only by the farmer planting the seed correctly.,q2_b,"If a germinating seed were grown in a rotating drum that cancelled out the effect of gravity, what would you predict?",The root would grow faster because less gravity means less resistance to elongation.,The shoot would grow downward because photosynthesis requires the leaves to face the soil.,"The root and shoot would grow in random directions, unable to use gravity as a guide.",q3_c
7,7,Why do some materials float while others sink?,What determines whether an object floats or sinks in water?,An object floats if its density is less than water and sinks if its density is greater than water.,An object floats if it is made of natural materials and sinks if it is made of synthetic ones.,An object floats only if it is hollow and sinks only if it is completely solid.,q1_a,Why is understanding density and buoyancy more useful than just knowing which objects float?,"Every object floats in water, so there is no need to understand the mechanism.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Buoyancy only applies to water, so the mechanism has no real-world applications.",q2_b,"If you added salt to water until it became very dense, what would you predict would happen to an egg placed in it?",The egg would sink faster because salt increases the gravitational pull on objects.,The egg would dissolve because salt reacts chemically with the eggshell.,The egg would float because the saltwater's density becomes greater than the egg's density.,q3_c
8,7,The hidden world inside a drop of water,What is found in a drop of pond water that cannot be seen with the naked eye?,"Microscopic living organisms such as bacteria, algae, and protozoa exist in a drop of pond water.",A drop of water contains tiny air pockets that give it its round shape on surfaces.,Water droplets contain dissolved minerals arranged in crystal patterns invisible to the eye.,q1_a,Why is identifying the mechanism of what makes water life-supporting more useful than just knowing microbes exist?,"All microbes are harmful, so understanding them has no benefit for students.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Microbes in water are destroyed by oxygen, so the mechanism is always the same.",q2_b,"If the water in a pond were heated to a very high temperature, what would you predict would happen to the microorganisms?",The microorganisms would grow larger because heat provides them with more energy.,The microorganisms would move to the bottom of the pond to avoid the heat.,"Most microorganisms would be killed by the heat, drastically reducing their population.",q3_c
9,7,Why does ice float on water?,What is the main reason ice floats on liquid water?,"Ice is less dense than liquid water because water molecules form a hexagonal crystal structure when frozen, taking up more space.",Ice floats because it contains trapped air bubbles that make it lighter than water.,"Ice floats because its surface is smoother, reducing the friction that would make it sink.",q1_a,Why is understanding the molecular structure of ice more useful than knowing that ice floats?,"Ice always sinks in warm water, so the molecular explanation is incorrect.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,The floating of ice is only important in polar regions and not relevant elsewhere.,q2_b,What would happen to aquatic life in lakes if ice were denser than water and sank to the bottom?,Fish would swim to the surface in winter because warm water rises to replace sinking ice.,Lakes would freeze more slowly because sunlight would not be blocked by a floating ice layer.,"Lakes would freeze solid from the bottom up, killing most aquatic life in winter.",q3_c
10,7,How does a refrigerator actually cool things?,What is the basic mechanism by which a refrigerator cools food?,"A refrigerant fluid circulates through coils, evaporating inside the fridge to absorb heat and condensing outside to release it.",The refrigerator generates cold air by spinning a fan through ice water stored in the back panel.,Electric current flowing through metal coils directly absorbs heat from the food inside.,q1_a,Why is understanding the refrigeration cycle more useful than knowing that a refrigerator keeps things cold?,"Refrigerators produce cold from nothing, so there is no mechanism to explain.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"All appliances work the same way, so understanding one mechanism explains nothing new.",q2_b,"If the refrigerant fluid in a refrigerator leaked out completely, what would you predict would happen?",The fridge would cool more efficiently because air conducts cold better than refrigerant.,The compressor would produce more electrical energy to compensate for the missing refrigerant.,The refrigerator would stop cooling because there is no fluid to carry heat away from inside.,q3_c
11,7,Why do shadows change during the day?,What is the main reason shadows change length and direction during the day?,"As the Earth rotates, the Sun's apparent position in the sky changes, altering the angle of light and therefore the shadow's length and direction.",The Moon's gravitational pull bends sunlight differently at different times of the day.,Shadows change because the temperature of the air bends light rays by different amounts.,q1_a,Why is understanding Earth's rotation more useful than just observing that shadows move?,"Shadows are caused by clouds, so Earth's rotation plays no role in their movement.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,Shadow movement is random and cannot be predicted by any mechanism.,q2_b,"If you measured the length of your shadow at noon and again at 4 PM, what would you predict?",The shadow would be longer at noon because the Sun is directly overhead and very hot.,The shadow would be the same length because the Sun moves at a constant speed.,The shadow would be longer at 4 PM because the Sun is lower in the sky at that time.,q3_c
12,7,How does a mirror produce your image?,What is the mechanism by which a flat mirror produces a reflection of your face?,"Light rays from your face hit the smooth mirror surface and bounce back at equal but opposite angles, forming a virtual image.",Mirrors contain a thin film of glass that stores a photographic imprint of whatever is in front of it.,The silver coating in a mirror emits its own light shaped like the object placed in front of it.,q1_a,Why is understanding how light reflects off mirrors more useful than knowing mirrors show your image?,"All surfaces reflect light equally, so the mechanism of mirrors is not unique.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,Mirror reflections are an optical illusion and cannot be explained by a mechanism.,q2_b,"If you covered a mirror with a rough, uneven coating, what would you predict would happen to the reflection?",The image would become sharper because rough surfaces scatter light more precisely.,The image would become brighter because roughness increases the amount of light reflected.,The image would become blurry or disappear because the rough surface scatters light in many directions.,q3_c
13,7,Why does sound disappear in space?,What is the main reason sound cannot travel through space?,Sound is a mechanical wave that needs a medium of particles to travel through; space is a vacuum with no particles.,Sound disappears in space because the cold temperature freezes the sound waves instantly.,Gravity in space is too weak to carry sound vibrations between objects.,q1_a,Why is understanding that sound needs a medium more useful than just knowing sound cannot travel in space?,"Sound actually travels faster in space than on Earth, so the medium does not matter.",A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"Space is full of invisible gas, so the explanation about a vacuum is incorrect.",q2_b,"If astronauts in space suits needed to communicate, what would you predict would work and what would not?",Shouting loudly would work because space suits amplify sound vibrations significantly.,Tapping helmets together would be enough because vibrations travel well through any vacuum.,Radio waves would work but direct voice communication through the vacuum would fail.,q3_c
14,7,How does your ear turn sound into signals?,What is the mechanism by which the ear converts sound waves into nerve signals?,Sound waves make the eardrum vibrate; tiny bones amplify this vibration and the cochlea converts it to electrical nerve signals.,"Sound waves are absorbed by the ear canal lining, which contains chemical sensors that detect pitch.",The ear funnels sound into the brain directly through the auditory canal without any vibrating structures.,q1_a,Why is understanding the mechanism of hearing more useful than knowing that ears detect sound?,The ear is too complex to have a mechanism; it works like a magic receiver.,A mechanism explains the cause-and-effect chain and allows prediction in new situations.,"All animals hear identically, so understanding the human ear explains nothing new.",q2_b,"If the tiny bones (ossicles) inside a person's ear were damaged, what would you predict would happen?",The person would hear more clearly because fewer parts would interfere with sound transmission.,The eardrum would vibrate more strongly to compensate for the missing bone movement.,Hearing would be significantly reduced because vibrations could not be amplified and sent to the cochlea.,q3_c
