day_number,class_level,topic,hook,lesson_url,think_question
1,7,Why does your stomach not digest itself?,why does your stomach not digest itself?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-01.html,What is the central phenomenon being explained today?
2,7,How does the human nose actually work?,how does the human nose actually work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-02.html,What is the central phenomenon being explained today?
3,7,Why do we breathe faster after running?,why do we breathe faster after running?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-03.html,What is the central phenomenon being explained today?
4,7,How does blood know where to go?,how does blood know where to go?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-04.html,What is the central phenomenon being explained today?
5,7,Why do plants need sunlight?,why do plants need sunlight?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-05.html,What is the central phenomenon being explained today?
6,7,How does a seed know which way to grow?,how does a seed know which way to grow?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-06.html,What is the central phenomenon being explained today?
7,7,Why do some materials float while others sink?,why do some materials float while others sink?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-07.html,What is the central phenomenon being explained today?
8,7,The hidden world inside a drop of water,the hidden world inside a drop of water?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-08.html,What is the central phenomenon being explained today?
9,7,Why does ice float on water?,why does ice float on water?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-09.html,What is the central phenomenon being explained today?
10,7,How does a refrigerator actually cool things?,how does a refrigerator actually cool things?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-10.html,What is the central phenomenon being explained today?
11,7,Why do shadows change during the day?,why do shadows change during the day?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-11.html,What is the central phenomenon being explained today?
12,7,How does a mirror produce your image?,how does a mirror produce your image?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-12.html,What is the central phenomenon being explained today?
13,7,Why does sound disappear in space?,why does sound disappear in space?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-13.html,What is the central phenomenon being explained today?
14,7,How does your ear turn sound into signals?,how does your ear turn sound into signals?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-14.html,What is the central phenomenon being explained today?
15,7,Why does a bicycle stay upright?,why does a bicycle stay upright?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-15.html,What is the central phenomenon being explained today?
16,7,What makes electricity flow?,what makes electricity flow?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-16.html,What is the central phenomenon being explained today?
17,7,Why does a compass point north?,why does a compass point north?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-17.html,What is the central phenomenon being explained today?
18,7,How do magnets work without touching?,how do magnets work without touching?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-18.html,What is the central phenomenon being explained today?
19,7,Why does iron rust?,why does iron rust?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-19.html,What is the central phenomenon being explained today?
20,7,What happens when food is digested?,what happens when food is digested?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-20.html,What is the central phenomenon being explained today?
21,7,How do vaccines teach the immune system?,how do vaccines teach the immune system?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-21.html,What is the central phenomenon being explained today?
22,7,Why do we get fever?,why do we get fever?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-22.html,What is the central phenomenon being explained today?
23,7,How do forests create rain?,how do forests create rain?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-7/day-23.html,What is the central phenomenon being explained today?
